number of points, dim, chunkSize, time
256, 4096, 2048, 1.580192
256, 4096, 4096, 1.579648
256, 4096, 8192, 1.580800
256, 8192, 32, 3.328800
256, 8192, 64, 3.336768
256, 8192, 128, 3.322976
256, 8192, 256, 3.331488
256, 8192, 512, 3.346176
256, 8192, 1024, 4.054528
256, 8192, 2048, 3.332736
256, 8192, 4096, 3.342976
256, 8192, 8192, 3.331360
256, 16384, 32, 5.173184
256, 16384, 64, 4.425888
256, 16384, 128, 4.426016
256, 16384, 256, 4.423264
256, 16384, 512, 5.079360
256, 16384, 1024, 4.429024
256, 16384, 2048, 4.417760
256, 16384, 4096, 4.427456
256, 16384, 8192, 4.424736
256, 32768, 32, 18.323072
256, 32768, 64, 17.127359
256, 32768, 128, 17.132832
256, 32768, 256, 18.138176
256, 32768, 512, 19.037121
256, 32768, 1024, 18.133984
256, 32768, 2048, 18.160353
256, 32768, 4096, 17.133633
256, 32768, 8192, 17.970337
512, 32, 4096, 112.341438
512, 32, 8192, 111.672707
512, 64, 2048, 31.740864
512, 64, 4096, 30.910080
512, 64, 8192, 31.186687
512, 128, 1024, 8.246816
512, 128, 2048, 7.659488
512, 128, 4096, 7.650432
512, 128, 8192, 7.652736
512, 256, 512, 2.449728
512, 256, 1024, 2.666912
512, 256, 2048, 2.091456
512, 256, 4096, 2.088096
512, 256, 8192, 2.082656
512, 512, 256, 2.347136
512, 512, 512, 2.659936
512, 512, 1024, 2.352128
512, 512, 2048, 2.336192
512, 512, 4096, 2.337344
512, 512, 8192, 2.334688
512, 1024, 128, 2.679712
512, 1024, 256, 2.773696
512, 1024, 512, 2.788960
512, 1024, 1024, 2.679648
512, 1024, 2048, 2.601856
512, 1024, 4096, 2.725664
512, 1024, 8192, 2.659712
512, 2048, 64, 3.214048
512, 2048, 128, 3.192192
512, 2048, 256, 3.226496
512, 2048, 512, 3.264224
512, 2048, 1024, 4.187552
512, 2048, 2048, 3.178592
512, 2048, 4096, 3.672128
512, 2048, 8192, 3.215552
512, 4096, 32, 6.445376
